input_id	dealiased_id	standard_id	short_id
pmid:23714547	pmid:23714547	pubmed:23714547	11g54rA8N
pmid:27174888	pmid:27174888	pubmed:27174888	ku3fwB6c
pmid:22974775	pmid:22974775	pubmed:22974775	1F86sLj5s
pmid:18815398	pmid:18815398	pubmed:18815398	19duX0kT0
pmid:15059877	pmid:15059877	pubmed:15059877	Co9gQ0V6
pmid:32747478	pmid:32747478	pubmed:32747478	oVtv8JOR
pmid:11751630	pmid:11751630	pubmed:11751630	cD4M6ONJ
pmid:27308419	pmid:27308419	pubmed:27308419	cWKMNUBI
pmid:30332632	pmid:30332632	pubmed:30332632	7H88gN81
doi:10.3322/caac.21654	doi:10.3322/caac.21654	doi:10.3322/caac.21654	gY2NonCA
pmid:5130083	pmid:5130083	pubmed:5130083	SY8r3LQy
pmid:27535389	pmid:27535389	pubmed:27535389	tR3WrnP9
pmid:27740970	pmid:27740970	pubmed:27740970	iZbc8sIr
pmid:23194048	pmid:23194048	pubmed:23194048	wDnAOh0T
pmid:32548736	pmid:32548736	pubmed:32548736	hRW7rjfZ
pmid:27283860	pmid:27283860	pubmed:27283860	BpRBkUVl
pmid:24651011	pmid:24651011	pubmed:24651011	6j21xB75
pmid:30833748	pmid:30833748	pubmed:30833748	c63Ld4El
pmid:35267628	pmid:35267628	pubmed:35267628	1CvrKB1k3
pmid:35167298	pmid:35167298	pubmed:35167298	bZo8j50s
pmid:34455067	pmid:34455067	pubmed:34455067	4S1jzORt
pmid:25399551	pmid:25399551	pubmed:25399551	CgOGrXoS
pmid:35033867	pmid:35033867	pubmed:35033867	fXe5uEAl
pmid:25472943	pmid:25472943	pubmed:25472943	WyV78aHe
pmid:32933997	pmid:32933997	pubmed:32933997	jKCnCnG4
pmid:692142	pmid:692142	pubmed:692142	4BJVCLfM
pmid:7987394	pmid:7987394	pubmed:7987394	9P0mUQ2t
pmid:25363767	pmid:25363767	pubmed:25363767	zOzqGxQM
pmid:17299132	pmid:17299132	pubmed:17299132	dTvhNsG9
pmid:26001956	pmid:26001956	pubmed:26001956	Ntv29NRu
pmid:31452510	pmid:31452510	pubmed:31452510	1GkFEmggg
pmid:26567140	pmid:26567140	pubmed:26567140	Pje1Soz4
